Date/Heure,Nom,URL,Code HTTP,Erreur,Statut,SSL Expiry Date,SSL Status
2025-06-25 10:28:13,CUD,https://www.communaute-urbaine-dunkerque.fr/,200,,UP,2025-09-15 08:57:49,
2025-06-25 10:28:14,CPLR,http://vm.cplr.fr,200,,WARNING_SSL,2025-08-24 13:28:23,WARNING_SSL
