Date/Heure,Nom,URL,Code HTTP,Erreur,Statut,SSL Expiry Date
2025-06-25 10:47:28,CPLR,https://vm.cplr.fr,200,,UP,2025-08-24 13:28:23
2025-06-25 10:47:29,CUD,https://www.communaute-urbaine-dunkerque.fr/,200,,UP,2025-09-15 08:57:49
